"CUSTOMER_ID","NAME","DATA_USAGE","DATA_LIMIT","USAGE_PERCENTAGE"
8825,Ayşe,20476.31,20480,99.98
311,Fatma,20476.18,20480,99.98
5623,Meryem,20476.27,20480,99.98
2770,Ahmet,20474.77,20480,99.97
8960,Yağmur,20466.81,20480,99.94
666,Fadime,10234.05,10240,99.94
6924,Halil,20465.87,20480,99.93
4749,Aynur,20460.43,20480,99.9
2655,Tuğba,10229.96,10240,99.9
3376,Kübra,20456.27,20480,99.88
4001,Büşra,10227.91,10240,99.88
3150,Büşra,10226.88,10240,99.87
6871,Ayşe,10225.53,10240,99.86
4927,Fadime,20448.91,20480,99.85
8599,Elif,20443.36,20480,99.82
7411,İsmail,10220.13,10240,99.81
6098,Fatma,10219.81,10240,99.8
7230,Havva,20436.77,20480,99.79
2477,Yasin,10214.12,10240,99.75
3961,Osman,20426.25,20480,99.74
706,Burak,10212.74,10240,99.73
178,Ramazan,20420.62,20480,99.71
699,Mustafa,20421.43,20480,99.71
9240,Rabia,20414.02,20480,99.68
8282,Hacer,10206.53,10240,99.67
6549,Osman,10203.99,10240,99.65
4706,Murat,20403.39,20480,99.63
5457,İsmail,20393.87,20480,99.58
785,Rabia,20390.14,20480,99.56
2372,Mustafa,10193.2,10240,99.54
4398,İsmail,20384.84,20480,99.54
9993,Melek,20385.68,20480,99.54
3033,Leyla,20384.18,20480,99.53
2247,Yağmur,20380.86,20480,99.52
7534,Hüseyin,20377.32,20480,99.5
4987,Hakan,20376.3,20480,99.49
5841,Ayşegül,10187.14,10240,99.48
9978,İbrahim,10186.35,10240,99.48
7851,Hacer,20367.19,20480,99.45
4959,Yağmur,20365.54,20480,99.44
7385,Muhammed,20356.48,20480,99.4
5791,Fatma,10177.56,10240,99.39
6672,Esra,20354.13,20480,99.39
7264,Hakan,20350.44,20480,99.37
6918,Murat,20343.51,20480,99.33
5438,Enes,20340.75,20480,99.32
1673,Yasemin,20337.71,20480,99.31
2527,Fatma,10168.43,10240,99.3
1505,Hacer,10167.37,10240,99.29
7912,Emre,10166.89,10240,99.29
6901,Ahmet,20328.15,20480,99.26
4857,Recep,10163.23,10240,99.25
9334,Kübra,10161.31,10240,99.23
3002,Zeynep,10161.11,10240,99.23
6844,Özlem,20317.64,20480,99.21
5940,Zehra,10157.86,10240,99.2
1185,Hüseyin,20315.18,20480,99.2
8851,Abdullah,20313.72,20480,99.19
8855,Yusuf,20307.93,20480,99.16
1955,Kadir,10154.1,10240,99.16
3573,İbrahim,10152.17,10240,99.14
5564,Abdullah,10151.56,10240,99.14
7208,Hakan,20300.59,20480,99.12
3712,Özlem,10148.2,10240,99.1
8507,Dilek,10146.01,10240,99.08
2635,Fatma,20292.01,20480,99.08
4229,Fatih,10145.12,10240,99.07
8642,Ramazan,10142.4,10240,99.05
7641,Burak,20284.96,20480,99.05
8854,Adem,20284.54,20480,99.05
9520,Osman,20284.8,20480,99.05
1587,Metin,20282.7,20480,99.04
3196,İbrahim,10139.79,10240,99.02
6942,Ali,20277.46,20480,99.01
6003,Yusuf,20272.21,20480,98.99
3945,Emine,20271.51,20480,98.98
2228,Adem,10134.87,10240,98.97
6685,Serkan,10131.55,10240,98.94
366,Enes,20261.22,20480,98.93
7706,Yasemin,10130.06,10240,98.93
3047,Fatih,20259.35,20480,98.92
673,Fadime,20257.1,20480,98.91
8631,Sultan,20253,20480,98.89
9656,Enes,20253.24,20480,98.89
3760,Kübra,10125.61,10240,98.88
4470,Hüseyin,10120.37,10240,98.83
6755,İbrahim,10118.98,10240,98.82
8609,Osman,20237.43,20480,98.82
1625,Adem,10117.76,10240,98.81
3529,Fatih,20228.92,20480,98.77
9945,Sultan,20226.56,20480,98.76
7033,Kadir,20222.99,20480,98.75
7259,Abdullah,20219.22,20480,98.73
7482,Recep,10110.09,10240,98.73
7849,Abdullah,10109.18,10240,98.72
4188,Kadir,10108.33,10240,98.71
9949,Songül,10107.98,10240,98.71
4479,Mahmut,10105.33,10240,98.68
2420,Hatice,20208.74,20480,98.68
2425,Yağmur,20210.04,20480,98.68
6486,Zehra,20200.49,20480,98.64
1608,Elif,20198.02,20480,98.62
7369,Merve,20190.25,20480,98.59
3247,Elif,20187.78,20480,98.57
9335,Ahmet,20186.93,20480,98.57
1499,Yasemin,20187.61,20480,98.57
4325,Recep,10093.32,10240,98.57
5634,Rabia,20184.73,20480,98.56
8224,Adem,20184.27,20480,98.56
3593,Kadir,20182.35,20480,98.55
4655,Büşra,20177.76,20480,98.52
2736,Rabia,10088.41,10240,98.52
1481,Hülya,20177.76,20480,98.52
7554,Enes,20162.02,20480,98.45
4341,Fadime,20163.06,20480,98.45
5367,Özlem,20159.21,20480,98.43
8267,Aysel,10079.56,10240,98.43
7785,Muhammed,20154.3,20480,98.41
9702,Muhammed,10076.93,10240,98.41
3078,Fadime,20154.65,20480,98.41
8002,Enes,10075.89,10240,98.4
7454,Hasan,10076.58,10240,98.4
2702,Fadime,10069.6,10240,98.34
7581,Fadime,20135.78,20480,98.32
6213,Meryem,20131.82,20480,98.3
969,Yağmur,10059.62,10240,98.24
399,Yasin,20118.14,20480,98.23
7094,Rabia,10056.19,10240,98.2
7492,Fadime,20111.65,20480,98.2
8623,Havva,10055.92,10240,98.2
8538,Fatih,20109.94,20480,98.19
4131,Havva,20107.68,20480,98.18
9600,Büşra,20104.96,20480,98.17
8333,Yusuf,20104.56,20480,98.17
9160,İbrahim,20104.21,20480,98.17
8875,İbrahim,10050.01,10240,98.14
2602,Kübra,20097.79,20480,98.13
4720,Kadir,10046.01,10240,98.11
5348,Ayşe,20091.37,20480,98.1
3120,Yasemin,20086.22,20480,98.08
8687,Leyla,10042.19,10240,98.07
8931,Tuğba,20076.98,20480,98.03
8965,Mustafa,10036.83,10240,98.02
2734,Özlem,10037.06,10240,98.02
9123,Elif,10035.11,10240,98
7438,Özlem,20068.56,20480,97.99
8225,Esra,20064.21,20480,97.97
5885,Hasan,20063.66,20480,97.97
7524,Esra,20060.46,20480,97.95
4521,Rabia,20055.55,20480,97.93
6652,Ahmet,20053.13,20480,97.92
6292,Fadime,20049.74,20480,97.9
5503,Sevim,10024.16,10240,97.89
3495,Rabia,10024.43,10240,97.89
2806,Enes,10023.86,10240,97.89
5701,Büşra,20043.39,20480,97.87
3808,Metin,20037.36,20480,97.84
8748,Ömer,20030.16,20480,97.8
9950,Yasin,20028.51,20480,97.8
695,Fadime,20029,20480,97.8
4434,Ayşe,10014.36,10240,97.8
4698,Adem,10013.93,10240,97.79
9430,Mustafa,20023.41,20480,97.77
9701,Aysel,20019.76,20480,97.75
2616,Mehmet,10009.73,10240,97.75
